Unnamed: 0,age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method
0,19,Non-binary,Freshman,Psychology,7664,2160,47512,5672,2368,984,1504,328,624,1072,1016,576,Credit/Debit Card
1,24,Female,Junior,Economics,8048,7000,39264,4456,2920,680,2016,592,736,1808,1032,544,Credit/Debit Card
2,24,Non-binary,Junior,Economics,5872,7424,24408,5328,1760,1096,792,1040,184,1912,896,1064,Cash
3,23,Female,Senior,Computer Science,4936,2120,39480,5216,2312,912,1784,792,240,1304,840,440,Mobile Payment App
4,20,Female,Senior,Computer Science,6480,4176,31096,6600,2976,1344,1552,384,568,704,568,832,Credit/Debit Card
5,25,Non-binary,Sophomore,Computer Science,4184,6320,25208,3304,3088,976,1048,584,304,1872,864,792,Mobile Payment App
6,23,Female,Freshman,Engineering,10832,552,39784,6496,3184,808,1704,168,304,1256,936,384,Credit/Debit Card
7,23,Female,Junior,Economics,5048,5984,31728,4568,2152,736,2008,296,720,1216,448,496,Mobile Payment App
8,22,Non-binary,Senior,Computer Science,11216,1984,45104,4792,2832,656,1240,984,328,1296,1376,1552,Credit/Debit Card
9,18,Female,Junior,Computer Science,11384,592,31816,5008,1992,936,984,408,592,1944,272,1568,Mobile Payment App
10,23,Male,Junior,Biology,6096,4920,32744,5280,2096,464,1464,784,168,2192,528,400,Credit/Debit Card
11,25,Male,Freshman,Engineering,8544,152,41104,5872,1944,1600,1824,456,456,1672,1544,1168,Credit/Debit Card
12,21,Male,Sophomore,Economics,5752,4320,38904,7152,2240,960,1008,328,400,624,904,912,Credit/Debit Card
13,19,Female,Junior,Biology,9408,6872,41608,5008,1872,400,2192,160,616,1000,1592,824,Mobile Payment App
14,24,Non-binary,Freshman,Economics,11968,600,42408,5256,1208,504,736,992,512,1568,400,936,Cash
15,22,Non-binary,Sophomore,Computer Science,9816,208,33400,7072,2624,1336,1400,888,768,584,1232,872,Cash
16,23,Female,Freshman,Psychology,11352,1896,43600,7064,2888,1600,1128,608,176,2280,1480,608,Cash
17,21,Female,Freshman,Computer Science,11632,6808,28304,6032,2856,880,1504,264,192,400,592,368,Mobile Payment App
18,19,Female,Sophomore,Psychology,11896,2488,35208,7064,2336,552,408,600,480,840,1448,1312,Credit/Debit Card
19,20,Female,Senior,Engineering,9256,3208,25048,7088,1568,1048,1728,456,312,2112,312,1392,Mobile Payment App
20,19,Male,Junior,Psychology,9440,5856,33648,4776,2032,1560,536,408,168,776,1480,368,Credit/Debit Card
21,24,Male,Sophomore,Computer Science,4128,4392,39024,6512,2288,1440,2256,440,200,616,584,1472,Mobile Payment App
22,18,Non-binary,Sophomore,Biology,9800,4880,39984,3784,1272,1072,2352,296,688,1272,480,344,Cash
23,24,Non-binary,Senior,Economics,4656,2280,33680,3368,2784,1104,1144,496,680,1744,904,480,Credit/Debit Card
24,19,Female,Senior,Economics,8496,448,36000,5848,1904,824,608,888,760,1904,592,664,Mobile Payment App
25,25,Female,Junior,Biology,8432,4224,43888,6312,3200,648,1688,760,592,1896,1120,1088,Mobile Payment App
26,20,Male,Senior,Economics,5336,5520,28328,6096,1384,1480,2304,424,304,672,1272,1096,Credit/Debit Card
27,20,Female,Junior,Psychology,6368,5640,44928,5312,2328,1432,2080,1016,168,904,1552,640,Credit/Debit Card
28,24,Non-binary,Sophomore,Psychology,7240,5368,33248,3552,1304,1048,1128,1056,248,1248,760,1024,Credit/Debit Card
29,23,Non-binary,Junior,Engineering,4248,3584,24792,5936,3152,1432,760,512,496,584,832,1384,Mobile Payment App
30,23,Non-binary,Freshman,Economics,11408,24,47544,5416,2368,880,1096,1168,168,1240,840,208,Mobile Payment App
31,23,Male,Sophomore,Psychology,11720,2416,43336,3744,904,1520,1072,952,656,2208,1320,1528,Mobile Payment App
32,24,Non-binary,Junior,Computer Science,4176,4440,41888,6880,1352,1064,1176,984,384,1104,712,1200,Credit/Debit Card
33,25,Female,Freshman,Economics,10704,880,44920,3744,2600,1264,1952,784,368,1848,1464,640,Cash
34,23,Male,Junior,Biology,10904,2920,25776,5560,1480,1328,792,928,544,616,248,1288,Mobile Payment App
35,21,Male,Freshman,Biology,10624,2560,24720,5744,2032,744,1632,592,240,1824,480,1432,Cash
36,22,Male,Sophomore,Engineering,10800,5400,31448,3696,2976,1176,2256,1192,736,2152,840,1520,Cash
