,Unnamed: 0,age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method
0,0,19,2,Freshman,Psychology,7664.0,2160.0,47512.0,5672.0,2368.0,984.0,1504.0,328.0,624.0,1072.0,1016.0,576.0,Credit/Debit Card
1,1,24,1,Junior,Economics,8048.0,7000.0,39264.0,4456.0,2920.0,680.0,2016.0,592.0,736.0,1808.0,1032.0,544.0,Credit/Debit Card
2,2,24,2,Junior,Economics,5872.0,7424.0,24408.0,5328.0,1760.0,1096.0,792.0,1040.0,184.0,1912.0,896.0,1064.0,Cash
3,3,23,1,Senior,Computer Science,4936.0,2120.0,39480.0,5216.0,2312.0,912.0,1784.0,792.0,240.0,1304.0,840.0,440.0,Mobile Payment App
4,4,20,1,Senior,Computer Science,6480.0,4176.0,31096.0,6600.0,2976.0,1344.0,1552.0,384.0,568.0,704.0,568.0,832.0,Credit/Debit Card
5,5,25,2,Sophomore,Computer Science,4184.0,6320.0,25208.0,3304.0,3088.0,976.0,1048.0,584.0,304.0,1872.0,864.0,792.0,Mobile Payment App
6,6,23,1,Freshman,Engineering,10832.0,552.0,39784.0,6496.0,3184.0,808.0,1704.0,168.0,304.0,1256.0,936.0,384.0,Credit/Debit Card
7,7,23,1,Junior,Economics,5048.0,5984.0,31728.0,4568.0,2152.0,736.0,2008.0,296.0,720.0,1216.0,448.0,496.0,Mobile Payment App
8,8,22,2,Senior,Computer Science,11216.0,1984.0,45104.0,4792.0,2832.0,656.0,1240.0,984.0,328.0,1296.0,1376.0,1552.0,Credit/Debit Card
9,9,18,1,Junior,Computer Science,11384.0,592.0,31816.0,5008.0,1992.0,936.0,984.0,408.0,592.0,1944.0,272.0,1568.0,Mobile Payment App
10,10,23,0,Junior,Biology,6096.0,4920.0,32744.0,5280.0,2096.0,464.0,1464.0,784.0,168.0,2192.0,528.0,400.0,Credit/Debit Card
11,11,25,0,Freshman,Engineering,8544.0,152.0,41104.0,5872.0,1944.0,1600.0,1824.0,456.0,456.0,1672.0,1544.0,1168.0,Credit/Debit Card
12,12,21,0,Sophomore,Economics,5752.0,4320.0,38904.0,7152.0,2240.0,960.0,1008.0,328.0,400.0,624.0,904.0,912.0,Credit/Debit Card
13,13,19,1,Junior,Biology,9408.0,6872.0,41608.0,5008.0,1872.0,400.0,2192.0,160.0,616.0,1000.0,1592.0,824.0,Mobile Payment App
14,14,24,2,Freshman,Economics,11968.0,600.0,42408.0,5256.0,1208.0,504.0,736.0,992.0,512.0,1568.0,400.0,936.0,Cash
15,15,22,2,Sophomore,Computer Science,9816.0,208.0,33400.0,7072.0,2624.0,1336.0,1400.0,888.0,768.0,584.0,1232.0,872.0,Cash
16,16,23,1,Freshman,Psychology,11352.0,1896.0,43600.0,7064.0,2888.0,1600.0,1128.0,608.0,176.0,2280.0,1480.0,608.0,Cash
17,17,21,1,Freshman,Computer Science,11632.0,6808.0,28304.0,6032.0,2856.0,880.0,1504.0,264.0,192.0,400.0,592.0,368.0,Mobile Payment App
18,18,19,1,Sophomore,Psychology,11896.0,2488.0,35208.0,7064.0,2336.0,552.0,408.0,600.0,480.0,840.0,1448.0,1312.0,Credit/Debit Card
19,19,20,1,Senior,Engineering,9256.0,3208.0,25048.0,7088.0,1568.0,1048.0,1728.0,456.0,312.0,2112.0,312.0,1392.0,Mobile Payment App
20,20,19,0,Junior,Psychology,9440.0,5856.0,33648.0,4776.0,2032.0,1560.0,536.0,408.0,168.0,776.0,1480.0,368.0,Credit/Debit Card
21,21,24,0,Sophomore,Computer Science,4128.0,4392.0,39024.0,6512.0,2288.0,1440.0,2256.0,440.0,200.0,616.0,584.0,1472.0,Mobile Payment App
22,22,18,2,Sophomore,Biology,9800.0,4880.0,39984.0,3784.0,1272.0,1072.0,2352.0,296.0,688.0,1272.0,480.0,344.0,Cash
23,23,24,2,Senior,Economics,4656.0,2280.0,33680.0,3368.0,2784.0,1104.0,1144.0,496.0,680.0,1744.0,904.0,480.0,Credit/Debit Card
24,24,19,1,Senior,Economics,8496.0,448.0,36000.0,5848.0,1904.0,824.0,608.0,888.0,760.0,1904.0,592.0,664.0,Mobile Payment App
25,25,25,1,Junior,Biology,8432.0,4224.0,43888.0,6312.0,3200.0,648.0,1688.0,760.0,592.0,1896.0,1120.0,1088.0,Mobile Payment App
26,26,20,0,Senior,Economics,5336.0,5520.0,28328.0,6096.0,1384.0,1480.0,2304.0,424.0,304.0,672.0,1272.0,1096.0,Credit/Debit Card
27,27,20,1,Junior,Psychology,6368.0,5640.0,44928.0,5312.0,2328.0,1432.0,2080.0,1016.0,168.0,904.0,1552.0,640.0,Credit/Debit Card
28,28,24,2,Sophomore,Psychology,7240.0,5368.0,33248.0,3552.0,1304.0,1048.0,1128.0,1056.0,248.0,1248.0,760.0,1024.0,Credit/Debit Card
29,29,23,2,Junior,Engineering,4248.0,3584.0,24792.0,5936.0,3152.0,1432.0,760.0,512.0,496.0,584.0,832.0,1384.0,Mobile Payment App
30,30,23,2,Freshman,Economics,11408.0,24.0,47544.0,5416.0,2368.0,880.0,1096.0,1168.0,168.0,1240.0,840.0,208.0,Mobile Payment App
31,31,23,0,Sophomore,Psychology,11720.0,2416.0,43336.0,3744.0,904.0,1520.0,1072.0,952.0,656.0,2208.0,1320.0,1528.0,Mobile Payment App
32,32,24,2,Junior,Computer Science,4176.0,4440.0,41888.0,6880.0,1352.0,1064.0,1176.0,984.0,384.0,1104.0,712.0,1200.0,Credit/Debit Card
33,33,25,1,Freshman,Economics,10704.0,880.0,44920.0,3744.0,2600.0,1264.0,1952.0,784.0,368.0,1848.0,1464.0,640.0,Cash
34,34,23,0,Junior,Biology,10904.0,2920.0,25776.0,5560.0,1480.0,1328.0,792.0,928.0,544.0,616.0,248.0,1288.0,Mobile Payment App
35,35,21,0,Freshman,Biology,10624.0,2560.0,24720.0,5744.0,2032.0,744.0,1632.0,592.0,240.0,1824.0,480.0,1432.0,Cash
36,36,22,0,Sophomore,Engineering,10800.0,5400.0,31448.0,3696.0,2976.0,1176.0,2256.0,1192.0,736.0,2152.0,840.0,1520.0,Cash
37,37,23,2,Senior,Computer Science,10472.0,2120.0,41280.0,4800.0,1424.0,1184.0,1488.0,704.0,624.0,1936.0,432.0,1376.0,Cash
38,38,21,1,Senior,Biology,7720.0,2008.0,42752.0,5560.0,1992.0,704.0,1992.0,392.0,232.0,2384.0,768.0,248.0,Cash
39,39,20,1,Senior,Engineering,4800.0,3136.0,45864.0,6328.0,2472.0,1424.0,536.0,176.0,232.0,1136.0,592.0,840.0,Mobile Payment App
40,40,24,1,Freshman,Engineering,4840.0,944.0,45568.0,5224.0,1320.0,1512.0,1208.0,688.0,656.0,936.0,664.0,1248.0,Mobile Payment App
41,41,25,0,Sophomore,Economics,6432.0,1120.0,42656.0,4136.0,2312.0,1176.0,1224.0,1000.0,344.0,1272.0,352.0,1016.0,Cash
42,42,23,1,Sophomore,Economics,10192.0,3592.0,37112.0,6040.0,1096.0,440.0,1992.0,824.0,400.0,1408.0,536.0,1400.0,Cash
43,43,23,0,Junior,Psychology,4072.0,7536.0,31664.0,4088.0,3128.0,1536.0,2112.0,456.0,680.0,864.0,920.0,1128.0,Credit/Debit Card
44,44,23,1,Senior,Economics,10280.0,7048.0,30584.0,5920.0,2024.0,1456.0,1840.0,256.0,736.0,944.0,272.0,312.0,Credit/Debit Card
45,45,18,0,Freshman,Computer Science,7432.0,2784.0,30832.0,4720.0,1632.0,1568.0,1464.0,1032.0,640.0,1304.0,928.0,440.0,Credit/Debit Card
46,46,25,2,Freshman,Psychology,9304.0,1880.0,39608.0,4392.0,2088.0,688.0,1480.0,816.0,168.0,2016.0,248.0,704.0,Cash
47,47,19,0,Senior,Psychology,9560.0,5960.0,42152.0,7360.0,1336.0,456.0,704.0,904.0,480.0,1936.0,280.0,848.0,Mobile Payment App
48,48,25,0,Junior,Psychology,8288.0,2080.0,33128.0,7344.0,976.0,688.0,840.0,496.0,704.0,720.0,1352.0,1096.0,Cash
49,49,24,1,Junior,Economics,4704.0,1688.0,39000.0,4832.0,1304.0,808.0,1584.0,712.0,184.0,1024.0,496.0,336.0,Mobile Payment App
50,50,20,1,Junior,Engineering,11016.0,5784.0,43312.0,6288.0,2840.0,1096.0,1496.0,360.0,720.0,1160.0,1600.0,216.0,Cash
51,51,21,2,Freshman,Economics,11608.0,3832.0,43848.0,5288.0,1120.0,536.0,1024.0,248.0,384.0,2344.0,296.0,1024.0,Credit/Debit Card
52,52,19,0,Senior,Computer Science,5352.0,5280.0,30584.0,6696.0,1544.0,920.0,600.0,968.0,520.0,1200.0,768.0,464.0,Cash
53,53,18,0,Freshman,Psychology,10352.0,6544.0,32632.0,6448.0,920.0,776.0,568.0,192.0,248.0,632.0,856.0,504.0,Mobile Payment App
54,54,24,2,Senior,Engineering,7528.0,720.0,29504.0,7704.0,2976.0,1576.0,1168.0,256.0,688.0,872.0,360.0,1584.0,Mobile Payment App
55,55,22,1,Sophomore,Engineering,9048.0,2496.0,33952.0,7408.0,2712.0,1136.0,1896.0,1160.0,744.0,968.0,728.0,1264.0,Cash
56,56,24,2,Freshman,Computer Science,6832.0,5600.0,38592.0,4200.0,1784.0,1160.0,1064.0,376.0,728.0,2352.0,1528.0,1360.0,Cash
57,57,20,0,Sophomore,Economics,9264.0,5224.0,24136.0,7680.0,1728.0,1544.0,2392.0,320.0,488.0,2104.0,440.0,1128.0,Mobile Payment App
58,58,25,2,Sophomore,Biology,5344.0,400.0,29200.0,3728.0,3016.0,1288.0,1768.0,480.0,640.0,1440.0,1136.0,688.0,Mobile Payment App
59,59,20,1,Junior,Biology,5560.0,7760.0,37552.0,5008.0,2432.0,832.0,1600.0,376.0,568.0,1784.0,744.0,1528.0,Mobile Payment App
60,60,20,0,Junior,Engineering,11000.0,5776.0,43112.0,3328.0,1056.0,1544.0,1192.0,536.0,216.0,2088.0,368.0,344.0,Mobile Payment App
61,61,23,1,Junior,Engineering,8672.0,2520.0,41640.0,5768.0,1840.0,608.0,1128.0,688.0,272.0,1496.0,1272.0,1152.0,Mobile Payment App
62,62,18,1,Senior,Biology,5864.0,6704.0,41984.0,7816.0,2384.0,1312.0,1928.0,680.0,624.0,2248.0,968.0,1344.0,Cash
63,63,20,2,Freshman,Economics,8488.0,7912.0,41552.0,3712.0,2960.0,464.0,616.0,1080.0,272.0,992.0,320.0,1368.0,Mobile Payment App
64,64,19,1,Junior,Computer Science,10816.0,104.0,27224.0,3816.0,1152.0,656.0,1520.0,872.0,672.0,648.0,448.0,640.0,Mobile Payment App
65,65,19,0,Freshman,Biology,8736.0,4400.0,46728.0,7328.0,1200.0,1144.0,2056.0,720.0,232.0,2096.0,1536.0,1416.0,Mobile Payment App
66,66,24,0,Freshman,Economics,7704.0,2936.0,30640.0,7064.0,2080.0,632.0,1112.0,1080.0,512.0,432.0,648.0,592.0,Mobile Payment App
67,67,21,1,Junior,Engineering,9632.0,968.0,34088.0,3904.0,2264.0,888.0,2296.0,920.0,448.0,1840.0,680.0,192.0,Credit/Debit Card
68,68,23,0,Senior,Engineering,9472.0,832.0,43040.0,7520.0,920.0,1480.0,1368.0,464.0,360.0,888.0,240.0,1352.0,Mobile Payment App
69,69,22,0,Junior,Economics,4496.0,5824.0,36480.0,7888.0,2448.0,840.0,872.0,720.0,792.0,1496.0,1560.0,272.0,Mobile Payment App
70,70,19,0,Freshman,Economics,9744.0,7024.0,37144.0,3608.0,1872.0,1352.0,1920.0,840.0,168.0,1904.0,808.0,304.0,Mobile Payment App
71,71,21,2,Sophomore,Computer Science,9880.0,6440.0,43536.0,5960.0,3120.0,1200.0,1824.0,768.0,640.0,832.0,280.0,1048.0,Cash
72,72,23,2,Sophomore,Economics,11392.0,2936.0,25760.0,5472.0,2624.0,944.0,728.0,1144.0,704.0,784.0,1272.0,432.0,Cash
73,73,22,1,Freshman,Biology,9408.0,6432.0,34176.0,6888.0,2440.0,776.0,848.0,824.0,344.0,1480.0,832.0,536.0,Mobile Payment App
74,74,25,1,Sophomore,Engineering,10672.0,648.0,31888.0,6984.0,1440.0,1488.0,1888.0,184.0,488.0,704.0,696.0,264.0,Credit/Debit Card
75,75,19,1,Senior,Computer Science,11536.0,2832.0,42968.0,5864.0,1224.0,1328.0,840.0,232.0,640.0,688.0,1096.0,872.0,Cash
76,76,22,0,Sophomore,Computer Science,7864.0,6896.0,45200.0,5184.0,1272.0,1024.0,2072.0,992.0,776.0,768.0,1200.0,1072.0,Cash
77,77,24,1,Sophomore,Computer Science,7312.0,192.0,39048.0,4512.0,1192.0,440.0,488.0,1032.0,632.0,1440.0,752.0,264.0,Credit/Debit Card
78,78,22,2,Senior,Economics,7184.0,1240.0,43424.0,6944.0,1400.0,1032.0,1184.0,912.0,592.0,1568.0,832.0,616.0,Cash
79,79,23,2,Junior,Economics,9312.0,2856.0,41696.0,5048.0,2648.0,1000.0,1592.0,920.0,384.0,1040.0,856.0,1568.0,Cash
80,80,18,1,Freshman,Biology,11872.0,4752.0,37088.0,4144.0,2392.0,592.0,440.0,832.0,696.0,976.0,1368.0,1544.0,Mobile Payment App
81,81,19,1,Junior,Biology,9016.0,6800.0,40832.0,4984.0,3080.0,752.0,1544.0,232.0,456.0,2072.0,904.0,248.0,Mobile Payment App
82,82,24,2,Senior,Biology,8840.0,5368.0,44008.0,6728.0,1880.0,1312.0,872.0,1152.0,800.0,2016.0,1584.0,288.0,Cash
83,83,19,0,Freshman,Computer Science,10808.0,1248.0,36232.0,5424.0,1488.0,1424.0,600.0,272.0,760.0,776.0,1120.0,600.0,Mobile Payment App
84,84,22,1,Freshman,Biology,7440.0,6144.0,24400.0,3920.0,2792.0,432.0,1392.0,640.0,408.0,2224.0,1144.0,328.0,Mobile Payment App
85,85,25,2,Senior,Computer Science,10768.0,7456.0,45464.0,5744.0,3008.0,1216.0,1248.0,752.0,648.0,1760.0,1160.0,664.0,Credit/Debit Card
86,86,25,2,Sophomore,Computer Science,9920.0,352.0,31208.0,4944.0,2520.0,1416.0,1440.0,328.0,504.0,1976.0,896.0,1104.0,Credit/Debit Card
87,87,25,1,Junior,Computer Science,5816.0,1144.0,32408.0,6720.0,2152.0,952.0,968.0,1056.0,320.0,1384.0,1584.0,1000.0,Credit/Debit Card
88,88,20,1,Junior,Economics,4976.0,7672.0,37656.0,3448.0,1872.0,1472.0,2112.0,432.0,672.0,2360.0,1296.0,1416.0,Mobile Payment App
89,89,23,0,Sophomore,Economics,6400.0,7464.0,42432.0,3368.0,1152.0,776.0,408.0,824.0,528.0,1976.0,1464.0,736.0,Credit/Debit Card
90,90,18,2,Junior,Psychology,9592.0,4128.0,47672.0,6224.0,2080.0,656.0,1904.0,592.0,656.0,1192.0,1008.0,496.0,Credit/Debit Card
91,91,19,0,Senior,Economics,8048.0,3136.0,28208.0,3288.0,2856.0,872.0,2144.0,856.0,752.0,520.0,1104.0,1160.0,Cash
92,92,23,2,Sophomore,Economics,10360.0,7224.0,35384.0,6328.0,3176.0,1152.0,512.0,472.0,632.0,1496.0,1512.0,904.0,Mobile Payment App
93,93,18,0,Sophomore,Economics,9776.0,5000.0,33888.0,6896.0,1016.0,1440.0,504.0,728.0,720.0,1528.0,696.0,976.0,Mobile Payment App
94,94,18,1,Senior,Computer Science,11072.0,6400.0,38576.0,6472.0,1896.0,1392.0,680.0,168.0,576.0,1040.0,1480.0,832.0,Credit/Debit Card
95,95,18,1,Junior,Engineering,8280.0,4104.0,26936.0,6080.0,1456.0,456.0,760.0,952.0,168.0,1328.0,1192.0,952.0,Credit/Debit Card
96,96,20,0,Freshman,Economics,11160.0,5784.0,41008.0,4408.0,2064.0,1040.0,648.0,816.0,672.0,1872.0,1376.0,624.0,Credit/Debit Card
97,97,18,2,Sophomore,Biology,6136.0,3656.0,40768.0,6240.0,2648.0,1600.0,920.0,712.0,216.0,2120.0,1400.0,1264.0,Credit/Debit Card
98,98,24,1,Senior,Biology,7464.0,3616.0,37648.0,6296.0,1328.0,1088.0,848.0,896.0,504.0,2160.0,688.0,232.0,Cash
99,99,23,0,Junior,Psychology,6424.0,6368.0,27768.0,7448.0,2344.0,432.0,1168.0,1136.0,464.0,672.0,832.0,328.0,Mobile Payment App
100,100,22,0,Sophomore,Psychology,10664.0,1848.0,26400.0,7768.0,2360.0,408.0,1752.0,728.0,752.0,2072.0,1288.0,400.0,Cash
101,101,23,1,Senior,Psychology,8920.0,3496.0,42536.0,6544.0,2728.0,1088.0,928.0,920.0,176.0,448.0,304.0,848.0,Mobile Payment App
102,102,20,1,Sophomore,Psychology,7360.0,1192.0,26928.0,5088.0,2360.0,1144.0,616.0,960.0,768.0,1096.0,1296.0,1424.0,Cash
103,103,25,0,Junior,Psychology,6240.0,760.0,47448.0,6072.0,1728.0,792.0,2008.0,160.0,304.0,1536.0,840.0,776.0,Cash
104,104,21,1,Junior,Psychology,7056.0,7296.0,44560.0,4440.0,2440.0,824.0,648.0,896.0,224.0,896.0,1296.0,1576.0,Mobile Payment App
105,105,21,1,Senior,Computer Science,7672.0,2064.0,25600.0,3712.0,2880.0,1224.0,1760.0,208.0,704.0,1152.0,1288.0,1072.0,Cash
106,106,25,1,Senior,Psychology,5984.0,3952.0,38312.0,3576.0,2824.0,1312.0,1608.0,480.0,344.0,792.0,744.0,1376.0,Mobile Payment App
107,107,21,0,Junior,Biology,6480.0,584.0,39072.0,5936.0,896.0,1384.0,2208.0,1088.0,504.0,2352.0,1288.0,1088.0,Mobile Payment App
108,108,20,0,Sophomore,Computer Science,7720.0,2576.0,39936.0,3464.0,1400.0,448.0,568.0,712.0,592.0,528.0,472.0,1040.0,Mobile Payment App
109,109,24,0,Senior,Psychology,6272.0,4104.0,39248.0,6904.0,928.0,880.0,1120.0,928.0,448.0,2112.0,1432.0,1280.0,Credit/Debit Card
110,110,22,0,Sophomore,Economics,7760.0,4424.0,47152.0,5440.0,2752.0,1248.0,912.0,960.0,632.0,424.0,320.0,1248.0,Mobile Payment App
111,111,23,2,Senior,Economics,10792.0,6984.0,46928.0,5288.0,1640.0,1032.0,704.0,576.0,224.0,1536.0,576.0,808.0,Credit/Debit Card
112,112,19,1,Senior,Psychology,6080.0,488.0,43432.0,6648.0,2144.0,672.0,504.0,208.0,736.0,2224.0,1480.0,480.0,Credit/Debit Card
113,113,21,1,Freshman,Computer Science,5616.0,2184.0,39816.0,7248.0,3080.0,848.0,2216.0,1184.0,328.0,1640.0,1192.0,928.0,Cash
114,114,21,0,Junior,Engineering,5760.0,5400.0,42472.0,5288.0,2272.0,760.0,1224.0,744.0,168.0,864.0,648.0,512.0,Mobile Payment App
115,115,22,0,Freshman,Biology,10288.0,6312.0,28944.0,7216.0,2744.0,1552.0,1456.0,592.0,496.0,1368.0,1008.0,896.0,Mobile Payment App
116,116,22,1,Sophomore,Engineering,9080.0,2088.0,38024.0,5032.0,2680.0,1344.0,776.0,904.0,480.0,1784.0,352.0,496.0,Cash
117,117,18,2,Senior,Engineering,8240.0,1920.0,24864.0,6872.0,3088.0,1176.0,1664.0,216.0,480.0,2120.0,288.0,184.0,Credit/Debit Card
118,118,21,1,Senior,Engineering,10120.0,5776.0,36632.0,6080.0,976.0,976.0,504.0,272.0,384.0,2000.0,1224.0,1472.0,Credit/Debit Card
119,119,24,1,Freshman,Psychology,9400.0,6424.0,45072.0,3552.0,2320.0,1360.0,504.0,200.0,296.0,2200.0,888.0,808.0,Mobile Payment App
120,120,23,1,Freshman,Psychology,8664.0,80.0,42200.0,5120.0,1888.0,1224.0,2056.0,496.0,696.0,1504.0,440.0,472.0,Mobile Payment App
121,121,24,2,Freshman,Biology,11896.0,7520.0,25336.0,6120.0,1616.0,1168.0,1464.0,1160.0,184.0,1864.0,960.0,352.0,Mobile Payment App
122,122,25,2,Junior,Computer Science,10616.0,1568.0,40536.0,4904.0,2224.0,1432.0,1496.0,1192.0,304.0,1816.0,1296.0,832.0,Cash
123,123,22,2,Senior,Economics,8760.0,1320.0,36256.0,6408.0,2024.0,1336.0,1944.0,584.0,264.0,880.0,528.0,784.0,Credit/Debit Card
124,124,23,0,Senior,Biology,11680.0,3488.0,25840.0,6296.0,3016.0,1408.0,1264.0,936.0,624.0,2392.0,672.0,344.0,Mobile Payment App
125,125,20,1,Freshman,Engineering,10832.0,3416.0,29528.0,4120.0,1792.0,960.0,1000.0,568.0,368.0,1120.0,1472.0,1416.0,Credit/Debit Card
126,126,20,0,Sophomore,Biology,6688.0,4960.0,34488.0,4672.0,2408.0,1280.0,1544.0,728.0,368.0,1144.0,960.0,424.0,Cash
127,127,22,0,Junior,Engineering,9696.0,4232.0,32096.0,7176.0,3200.0,424.0,960.0,936.0,704.0,2272.0,952.0,840.0,Credit/Debit Card
128,128,20,2,Senior,Engineering,11864.0,2216.0,27304.0,4432.0,1456.0,1104.0,2200.0,576.0,280.0,1280.0,592.0,1520.0,Credit/Debit Card
